run_id,config,scenario,iter,variant,tp,fp,fn,tn,precision,recall,f1,fpr,n_windows,n_flagged,n_events
2026-05-18T171719-single-plc-malformed-i9,single-plc,malformed,9,iforest_malformed,0,0,32,51,0.0,0.0,0.0,0.0,51,0,32
2026-05-18T171719-single-plc-malformed-i9,single-plc,malformed,9,lof_multi,13,1,19,37,0.9286,0.4062,0.5652,0.0263,51,14,32
2026-05-18T172202-single-plc-malformed-i10,single-plc,malformed,10,iforest_multi,31,5,1,14,0.8611,0.9688,0.9118,0.2632,50,36,32
2026-05-18T172202-single-plc-malformed-i10,single-plc,malformed,10,iforest_latency,22,4,10,24,0.8462,0.6875,0.7586,0.1429,50,26,32
2026-05-18T172202-single-plc-malformed-i10,single-plc,malformed,10,iforest_availability,0,0,32,50,0.0,0.0,0.0,0.0,50,0,32
2026-05-18T172202-single-plc-malformed-i10,single-plc,malformed,10,iforest_integrity,31,4,1,15,0.8857,0.9688,0.9254,0.2105,50,35,32
2026-05-18T172202-single-plc-malformed-i10,single-plc,malformed,10,iforest_malformed,0,0,32,50,0.0,0.0,0.0,0.0,50,0,32
2026-05-18T172202-single-plc-malformed-i10,single-plc,malformed,10,lof_multi,14,2,18,34,0.875,0.4375,0.5833,0.0556,50,16,32
2026-05-18T172644-single-plc-mutate-i1,single-plc,mutate,1,iforest_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T172644-single-plc-mutate-i1,single-plc,mutate,1,iforest_latency,0,2,2,15,0.0,0.0,0.0,0.1176,17,2,2
2026-05-18T172644-single-plc-mutate-i1,single-plc,mutate,1,iforest_availability,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T172644-single-plc-mutate-i1,single-plc,mutate,1,iforest_integrity,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T172644-single-plc-mutate-i1,single-plc,mutate,1,iforest_malformed,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T172644-single-plc-mutate-i1,single-plc,mutate,1,lof_multi,0,0,2,17,0.0,0.0,0.0,0.0,17,0,2
2026-05-18T173141-single-plc-mutate-i2,single-plc,mutate,2,iforest_multi,0,2,2,14,0.0,0.0,0.0,0.125,16,2,2
